,w_d,w_c,Distance,TypeSim,SpeedSim,Temp,Prcp
0,50.0,37.5,0.7933548441497432,0.0,0.5007669804719249,0.0,1.0
1,52.5,35.0,0.7933548441497432,0.0,0.5007669804719249,0.0,1.0
2,55.0,32.5,0.7933548441497432,0.0,0.5007669804719249,0.0,1.0
3,57.5,30.0,0.7933548441497432,0.0,0.5007669804719249,0.0,1.0
4,60.0,27.5,0.7933548441497432,0.0,0.5007669804719249,0.0,1.0
5,62.5,25.0,0.7933548441497432,0.0,0.5007669804719249,0.0,1.0
6,65.0,22.5,0.5931821804515692,0.0,0.44148469404090007,0.009302325581395316,0.9515250544662305
7,67.5,20.0,0.5931821804515692,0.0,0.44148469404090007,0.009302325581395316,0.9515250544662305
8,70.0,17.5,0.5931821804515692,0.0,0.44148469404090007,0.009302325581395316,0.9515250544662305
9,72.5,15.0,0.5877367244623388,0.0,0.0,0.020930232558139503,0.9365468409586052
10,75.0,12.5,0.5059847880578822,0.0,0.3071898382359414,0.08604651162790695,0.9112200435729845
11,77.5,10.0,0.5059847880578822,0.0,0.3071898382359414,0.08604651162790695,0.9112200435729845
12,80.0,7.5,0.2089036915679079,1.0,1.0,0.039534883720930385,0.909858387799564
13,82.5,5.0,1.0,1.0,0.524305307131427,0.19767441860465124,0.6838235294117639
14,85.0,2.5,0.0,1.0,0.7831648578091773,1.0,0.0
