,Weighting,Distance,TypeSim,SpeedSim,Temp,Prcp
0,0,1.0,1.0,1.0,1.0,1.0
1,4,0.7738802462759874,1.0,0.9842660664787403,0.6687402799377917,0.9070783738715427
2,8,0.7918163672887856,0.8666666666666667,0.9883765453712933,0.5451010886469674,0.8672876775343568
3,12,0.657503160064127,0.8666666666666667,0.9883765453712933,0.4564541213063764,0.8161117819561843
4,16,0.657503160064127,0.8,0.9820506298809436,0.4090202177293935,0.7769535966879418
5,20,0.657503160064127,0.8,0.9820506298809436,0.4090202177293935,0.7277902363291358
6,24,0.657503160064127,0.8,0.9820506298809436,0.35692068429237955,0.7277902363291358
7,28,0.657503160064127,0.7333333333333333,0.9820506298809436,0.28227060653188185,0.6683916968546949
8,32,0.6568867665469861,0.6,0.9820506298809436,0.28227060653188185,0.6683916968546949
9,36,0.6568867665469861,0.6,0.9875032602649587,0.2628304821150856,0.6593640388706802
10,40,0.6568867665469861,0.6,0.9780897450488514,0.24416796267496116,0.6463688114542003
11,44,0.6568867665469861,0.6,0.9805481029111466,0.24416796267496116,0.6403312057961014
12,48,0.6568867665469861,0.6,0.9780897450488514,0.22317262830482118,0.6536139382439192
13,52,0.6568867665469861,0.6,0.9789997851797594,0.22317262830482118,0.6411937208901155
14,56,0.5873099724180276,0.6,0.9766539836618785,0.22317262830482118,0.6411937208901155
15,60,0.5716213331628553,0.6,0.9782932767093464,0.22317262830482118,0.630671036743143
16,64,0.6485528402315665,0.6,0.9754508460834472,0.22317262830482118,0.630671036743143
17,68,0.5885200547814522,0.6,0.9857074779309123,0.22317262830482118,0.6179633143580011
18,72,0.5445972161876932,0.6,0.9654348910865369,0.21850699844479007,0.6056005980104652
19,76,0.5428939066578229,0.5333333333333333,0.9738115530359794,0.21850699844479007,0.6056005980104651
20,80,0.4863455109904431,0.5333333333333333,0.9743723000282466,0.21850699844479007,0.6056005980104651
21,84,0.4783844209672395,0.5333333333333333,0.9689812177641433,0.21073094867807157,0.6056005980104651
22,88,0.5327525237216524,0.5333333333333333,0.9846017688666706,0.21073094867807157,0.603415559772296
23,92,0.517725087177125,0.5333333333333333,0.9640044626585089,0.21073094867807157,0.5586222758898279
24,96,0.4082066337110933,0.5333333333333333,0.9760198036013171,0.20917573872472786,0.603415559772296
25,100,0.4762853489172067,0.5333333333333333,0.967035727613944,0.20917573872472786,0.6030130527284226
